START,END,UTC,READABLE_START,READABLE_END,PHONE_STEP,WEARABLE_STEP,AVERAGE_STEP,DURATION,TYPE
1636643520000,1636643580000,9,2021-11-12 00:12:00,2021-11-12 00:13:00,11.0,0.0,11.0,1,PHONE
1636671660000,1636671720000,9,2021-11-12 08:01:00,2021-11-12 08:02:00,25.0,0.0,25.0,1,PHONE
1636671900000,1636671960000,9,2021-11-12 08:05:00,2021-11-12 08:06:00,6.0,0.0,6.0,1,PHONE
1636674720000,1636675140000,9,2021-11-12 08:52:00,2021-11-12 08:59:00,665.0,0.0,665.0,7,PHONE
1636680540000,1636680600000,9,2021-11-12 10:29:00,2021-11-12 10:30:00,15.0,0.0,15.0,1,PHONE
1636680660000,1636681140000,9,2021-11-12 10:31:00,2021-11-12 10:39:00,595.0,0.0,595.0,8,PHONE
1636681260000,1636681320000,9,2021-11-12 10:41:00,2021-11-12 10:42:00,7.0,0.0,7.0,1,PHONE
1636684920000,1636685340000,9,2021-11-12 11:42:00,2021-11-12 11:49:00,317.0,0.0,317.0,7,PHONE
1636686540000,1636686660000,9,2021-11-12 12:09:00,2021-11-12 12:11:00,16.0,0.0,16.0,2,PHONE
1636686720000,1636686780000,9,2021-11-12 12:12:00,2021-11-12 12:13:00,36.0,0.0,36.0,1,PHONE
1636686900000,1636686960000,9,2021-11-12 12:15:00,2021-11-12 12:16:00,15.0,0.0,15.0,1,PHONE
1636692360000,1636692420000,9,2021-11-12 13:46:00,2021-11-12 13:47:00,17.0,0.0,17.0,1,PHONE
1636699380000,1636699440000,9,2021-11-12 15:43:00,2021-11-12 15:44:00,14.0,0.0,14.0,1,PHONE
1636699560000,1636699620000,9,2021-11-12 15:46:00,2021-11-12 15:47:00,7.0,0.0,7.0,1,PHONE
1636699740000,1636699800000,9,2021-11-12 15:49:00,2021-11-12 15:50:00,10.0,0.0,10.0,1,PHONE
1636699980000,1636700040000,9,2021-11-12 15:53:00,2021-11-12 15:54:00,6.0,0.0,6.0,1,PHONE
1636713660000,1636714260000,9,2021-11-12 19:41:00,2021-11-12 19:51:00,747.0,0.0,747.0,10,PHONE
1636718880000,1636719600000,9,2021-11-12 21:08:00,2021-11-12 21:20:00,828.0,0.0,828.0,12,PHONE
1636719660000,1636719720000,9,2021-11-12 21:21:00,2021-11-12 21:22:00,25.0,0.0,25.0,1,PHONE
1636720260000,1636720320000,9,2021-11-12 21:31:00,2021-11-12 21:32:00,22.0,0.0,22.0,1,PHONE
1636724640000,1636724820000,9,2021-11-12 22:44:00,2021-11-12 22:47:00,104.0,0.0,104.0,3,PHONE
1636724880000,1636724940000,9,2021-11-12 22:48:00,2021-11-12 22:49:00,9.0,0.0,9.0,1,PHONE
1636726260000,1636726380000,9,2021-11-12 23:11:00,2021-11-12 23:13:00,19.0,0.0,19.0,2,PHONE
1636728840000,1636729320000,9,2021-11-12 23:54:00,2021-11-13 00:02:00,504.0,0.0,504.0,8,PHONE
1636730100000,1636730160000,9,2021-11-13 00:15:00,2021-11-13 00:16:00,6.0,0.0,6.0,1,PHONE
1636730700000,1636730760000,9,2021-11-13 00:25:00,2021-11-13 00:26:00,9.0,0.0,9.0,1,PHONE
1636755480000,1636755540000,9,2021-11-13 07:18:00,2021-11-13 07:19:00,6.0,0.0,6.0,1,PHONE
1636756140000,1636756200000,9,2021-11-13 07:29:00,2021-11-13 07:30:00,29.0,0.0,29.0,1,PHONE
1636758120000,1636758180000,9,2021-11-13 08:02:00,2021-11-13 08:03:00,13.0,0.0,13.0,1,PHONE
1636760280000,1636760340000,9,2021-11-13 08:38:00,2021-11-13 08:39:00,9.0,0.0,9.0,1,PHONE
1636769760000,1636770180000,9,2021-11-13 11:16:00,2021-11-13 11:23:00,725.0,0.0,725.0,7,PHONE
1636771320000,1636772940000,9,2021-11-13 11:42:00,2021-11-13 12:09:00,2315.0,0.0,2315.0,27,PHONE
1636773000000,1636774080000,9,2021-11-13 12:10:00,2021-11-13 12:28:00,1999.0,0.0,1999.0,18,PHONE
1636775700000,1636779300000,9,2021-11-13 12:55:00,2021-11-13 13:55:00,6322.0,0.0,6322.0,60,PHONE
1636779420000,1636779900000,9,2021-11-13 13:57:00,2021-11-13 14:05:00,613.0,0.0,613.0,8,PHONE
1636780920000,1636780980000,9,2021-11-13 14:22:00,2021-11-13 14:23:00,19.0,0.0,19.0,1,PHONE
1636785720000,1636785780000,9,2021-11-13 15:42:00,2021-11-13 15:43:00,8.0,0.0,8.0,1,PHONE
1636791840000,1636792440000,9,2021-11-13 17:24:00,2021-11-13 17:34:00,670.0,0.0,670.0,10,PHONE
1636792560000,1636793100000,9,2021-11-13 17:36:00,2021-11-13 17:45:00,489.0,0.0,489.0,9,PHONE
1636799160000,1636799280000,9,2021-11-13 19:26:00,2021-11-13 19:28:00,59.0,0.0,59.0,2,PHONE
1636802460000,1636803120000,9,2021-11-13 20:21:00,2021-11-13 20:32:00,810.0,0.0,810.0,11,PHONE
1636803180000,1636803780000,9,2021-11-13 20:33:00,2021-11-13 20:43:00,754.0,0.0,754.0,10,PHONE
1636803840000,1636804020000,9,2021-11-13 20:44:00,2021-11-13 20:47:00,24.0,0.0,24.0,3,PHONE
1636808880000,1636809120000,9,2021-11-13 22:08:00,2021-11-13 22:12:00,325.0,0.0,325.0,4,PHONE
1636816140000,1636816200000,9,2021-11-14 00:09:00,2021-11-14 00:10:00,14.0,0.0,14.0,1,PHONE
1636816260000,1636816440000,9,2021-11-14 00:11:00,2021-11-14 00:14:00,299.0,0.0,299.0,3,PHONE
1636816500000,1636816560000,9,2021-11-14 00:15:00,2021-11-14 00:16:00,11.0,0.0,11.0,1,PHONE
1636820760000,1636820820000,9,2021-11-14 01:26:00,2021-11-14 01:27:00,10.0,0.0,10.0,1,PHONE
1636843860000,1636843920000,9,2021-11-14 07:51:00,2021-11-14 07:52:00,30.0,0.0,30.0,1,PHONE
1636846560000,1636846680000,9,2021-11-14 08:36:00,2021-11-14 08:38:00,22.0,0.0,22.0,2,PHONE
1636848120000,1636848180000,9,2021-11-14 09:02:00,2021-11-14 09:03:00,6.0,0.0,6.0,1,PHONE
1636851540000,1636851660000,9,2021-11-14 09:59:00,2021-11-14 10:01:00,7.0,0.0,7.0,2,PHONE
1636854900000,1636854960000,9,2021-11-14 10:55:00,2021-11-14 10:56:00,15.0,0.0,15.0,1,PHONE
1636862580000,1636862640000,9,2021-11-14 13:03:00,2021-11-14 13:04:00,6.0,0.0,6.0,1,PHONE
1636863240000,1636863360000,9,2021-11-14 13:14:00,2021-11-14 13:16:00,22.0,0.0,22.0,2,PHONE
1636868640000,1636868700000,9,2021-11-14 14:44:00,2021-11-14 14:45:00,6.0,0.0,6.0,1,PHONE
1636869660000,1636869720000,9,2021-11-14 15:01:00,2021-11-14 15:02:00,16.0,0.0,16.0,1,PHONE
1636927320000,1636927380000,9,2021-11-15 07:02:00,2021-11-15 07:03:00,17.0,18.0,17.5,1,BOTH
1636933560000,1636933680000,9,2021-11-15 08:46:00,2021-11-15 08:48:00,0.0,29.0,29.0,2,WEARABLE
1636933800000,1636933860000,9,2021-11-15 08:50:00,2021-11-15 08:51:00,0.0,10.0,10.0,1,WEARABLE
1636933920000,1636934040000,9,2021-11-15 08:52:00,2021-11-15 08:54:00,0.0,72.0,72.0,2,WEARABLE
1636934100000,1636934160000,9,2021-11-15 08:55:00,2021-11-15 08:56:00,26.0,0.0,26.0,1,PHONE
1636934160000,1636934400000,9,2021-11-15 08:56:00,2021-11-15 09:00:00,589.0,575.0,582.0,4,BOTH
1636934460000,1636934520000,9,2021-11-15 09:01:00,2021-11-15 09:02:00,0.0,19.0,19.0,1,WEARABLE
1636934580000,1636936800000,9,2021-11-15 09:03:00,2021-11-15 09:40:00,0.0,3691.0,3691.0,37,WEARABLE
1636936860000,1636937820000,9,2021-11-15 09:41:00,2021-11-15 09:57:00,0.0,1305.0,1305.0,16,WEARABLE
1636938300000,1636938780000,9,2021-11-15 10:05:00,2021-11-15 10:13:00,0.0,404.0,404.0,8,WEARABLE
1636942860000,1636942920000,9,2021-11-15 11:21:00,2021-11-15 11:22:00,0.0,89.0,89.0,1,WEARABLE
1636942920000,1636943460000,9,2021-11-15 11:22:00,2021-11-15 11:31:00,615.0,634.0,624.5,9,BOTH
1636943460000,1636943520000,9,2021-11-15 11:31:00,2021-11-15 11:32:00,0.0,16.0,16.0,1,WEARABLE
1636943580000,1636943700000,9,2021-11-15 11:33:00,2021-11-15 11:35:00,124.0,121.0,122.5,2,BOTH
1636943760000,1636943820000,9,2021-11-15 11:36:00,2021-11-15 11:37:00,0.0,10.0,10.0,1,WEARABLE
