START,UTC,PHONE_STEP,WEARABLE_STEP
1626448620000,9,37.0,37.0
1626449280000,9,15.0,15.0
1626465960000,9,38.0,0.0
1626466020000,9,44.0,0.0
1626466500000,9,48.0,0.0
1626466560000,9,108.0,0.0
1626466620000,9,136.0,0.0
1626466680000,9,134.0,0.0
1626466740000,9,135.0,0.0
1626466800000,9,134.0,0.0
1626466860000,9,60.0,0.0
1626466920000,9,13.0,0.0
1626474180000,9,40.0,0.0
1626474240000,9,126.0,0.0
1626474300000,9,115.0,0.0
1626474360000,9,126.0,0.0
1626474420000,9,125.0,0.0
1626474480000,9,120.0,0.0
1626474540000,9,128.0,0.0
1626474600000,9,129.0,0.0
1626474660000,9,106.0,0.0
1626475380000,9,59.0,0.0
1626475500000,9,16.0,0.0
1626476340000,9,22.0,0.0
1626479040000,9,31.0,0.0
1626479100000,9,20.0,0.0
1626479160000,9,31.0,0.0
1626479220000,9,27.0,0.0
1626479940000,9,8.0,0.0
1626480480000,9,8.0,0.0
1626481620000,9,29.0,0.0
1626481680000,9,7.0,1.0
1626482880000,9,16.0,0.0
1626485220000,9,18.0,0.0
1626485400000,9,39.0,23.0
1626486240000,9,15.0,0.0
1626489900000,9,35.0,34.0
1626489960000,9,40.0,64.0
1626490020000,9,107.0,116.0
1626490080000,9,101.0,111.0
1626490140000,9,105.0,107.0
1626490200000,9,98.0,102.0
1626490260000,9,17.0,18.0
1626490500000,9,0.0,7.0
1626490560000,9,0.0,19.0
1626490740000,9,32.0,32.0
1626490980000,9,0.0,13.0
1626491280000,9,0.0,10.0
1626491760000,9,39.0,31.0
1626491820000,9,104.0,123.0
1626491880000,9,103.0,126.0
1626491940000,9,112.0,114.0
1626492000000,9,90.0,89.0
1626492060000,9,80.0,101.0
1626492120000,9,6.0,3.0
1626492300000,9,0.0,10.0
1626492780000,9,0.0,21.0
1626492960000,9,0.0,10.0
1626493740000,9,0.0,18.0
1626494880000,9,0.0,12.0
1626494940000,9,25.0,38.0
1626495000000,9,77.0,86.0
1626495060000,9,16.0,39.0
1626495120000,9,95.0,94.0
1626495180000,9,36.0,38.0
1626495240000,9,80.0,40.0
1626495300000,9,108.0,57.0
1626495360000,9,35.0,0.0
1626495420000,9,12.0,35.0
1626495480000,9,0.0,11.0
1626496020000,9,0.0,10.0
1626496080000,9,15.0,0.0
1626497160000,9,0.0,11.0
1626497220000,9,0.0,10.0
1626497280000,9,0.0,12.0
1626497820000,9,43.0,53.0
1626497880000,9,19.0,19.0
1626497940000,9,18.0,18.0
1626498000000,9,14.0,32.0
1626498060000,9,48.0,61.0
1626498120000,9,1.0,9.0
1626498300000,9,0.0,13.0
1626498360000,9,22.0,10.0
1626498420000,9,38.0,53.0
1626498480000,9,61.0,73.0
1626498960000,9,87.0,97.0
1626499020000,9,5.0,8.0
1626499200000,9,17.0,17.0
1626499380000,9,26.0,11.0
1626500400000,9,0.0,14.0
1626500460000,9,116.0,106.0
1626500520000,9,75.0,82.0
1626500580000,9,18.0,15.0
1626501600000,9,9.0,9.0
1626501660000,9,40.0,42.0
1626501720000,9,98.0,111.0
1626501780000,9,97.0,110.0
1626501840000,9,111.0,102.0
1626501900000,9,106.0,114.0
1626501960000,9,108.0,106.0
1626502020000,9,31.0,30.0
1626502080000,9,46.0,46.0
1626502140000,9,0.0,26.0
1626502200000,9,0.0,29.0
1626502260000,9,35.0,46.0
1626502320000,9,45.0,39.0
1626502380000,9,17.0,14.0
1626503640000,9,0.0,11.0
1626509700000,9,84.0,97.0
1626509760000,9,0.0,21.0
1626509820000,9,84.0,86.0
1626509880000,9,85.0,96.0
1626509940000,9,101.0,109.0
1626510000000,9,107.0,104.0
1626510060000,9,105.0,114.0
1626510120000,9,94.0,105.0
1626510180000,9,117.0,114.0
1626510240000,9,40.0,54.0
1626510300000,9,89.0,97.0
1626510360000,9,100.0,97.0
1626510420000,9,9.0,10.0
1626510480000,9,16.0,28.0
1626510540000,9,0.0,14.0
1626510600000,9,7.0,10.0
1626510660000,9,29.0,32.0
1626512760000,9,45.0,62.0
1626512820000,9,95.0,106.0
1626512880000,9,113.0,123.0
1626512940000,9,9.0,38.0
1626513300000,9,52.0,77.0
1626513360000,9,109.0,124.0
1626513420000,9,128.0,105.0
1626513480000,9,79.0,81.0
1626513960000,9,0.0,27.0
1626514020000,9,0.0,10.0
1626514260000,9,15.0,11.0
1626514320000,9,15.0,15.0
1626514560000,9,15.0,0.0
1626514740000,9,18.0,0.0
1626514800000,9,22.0,14.0
1626514860000,9,15.0,15.0
1626515040000,9,18.0,0.0
1626515100000,9,18.0,0.0
1626515160000,9,15.0,0.0
1626515280000,9,20.0,20.0
1626515400000,9,0.0,10.0
1626515460000,9,24.0,0.0
1626515700000,9,0.0,19.0
1626515760000,9,48.0,49.0
1626515820000,9,105.0,109.0
1626515880000,9,120.0,115.0
1626515940000,9,102.0,92.0
1626516000000,9,68.0,58.0
1626516060000,9,28.0,52.0
1626516120000,9,15.0,17.0
1626516840000,9,16.0,0.0
1626524340000,9,33.0,33.0
1626524400000,9,88.0,105.0
1626524460000,9,98.0,107.0
1626524520000,9,98.0,112.0
1626524580000,9,102.0,114.0
1626524640000,9,108.0,113.0
1626524700000,9,104.0,118.0
1626524760000,9,103.0,107.0
1626524820000,9,106.0,107.0
1626524880000,9,105.0,105.0
1626524940000,9,102.0,105.0
1626525000000,9,102.0,102.0
1626525060000,9,105.0,111.0
1626525120000,9,110.0,110.0
1626525180000,9,104.0,112.0
1626525240000,9,110.0,115.0
1626525300000,9,102.0,107.0
1626525360000,9,110.0,111.0
1626525420000,9,106.0,106.0
1626525480000,9,73.0,76.0
1626525540000,9,77.0,94.0
1626525600000,9,107.0,113.0
1626525660000,9,99.0,99.0
1626525720000,9,15.0,21.0
1626525780000,9,97.0,114.0
1626525840000,9,109.0,111.0
1626525900000,9,102.0,112.0
1626525960000,9,104.0,108.0
1626526020000,9,107.0,117.0
1626526080000,9,111.0,104.0
1626526140000,9,110.0,116.0
1626526200000,9,107.0,96.0
1626526260000,9,107.0,103.0
1626526320000,9,103.0,111.0
1626526380000,9,108.0,106.0
1626526440000,9,107.0,106.0
1626526500000,9,105.0,103.0
1626526560000,9,106.0,103.0
1626526620000,9,104.0,107.0
1626526680000,9,101.0,104.0
1626526740000,9,113.0,101.0
1626526800000,9,100.0,106.0
1626526860000,9,108.0,110.0
1626526920000,9,104.0,99.0
1626526980000,9,110.0,112.0
1626527040000,9,50.0,58.0
1626527160000,9,83.0,84.0
1626527220000,9,114.0,113.0
1626527280000,9,108.0,112.0
1626527340000,9,106.0,103.0
1626527400000,9,111.0,113.0
1626527460000,9,105.0,107.0
1626527520000,9,67.0,54.0
1626527580000,9,46.0,38.0
1626527940000,9,8.0,0.0
1626537360000,9,40.0,27.0
1626537840000,9,14.0,0.0
1626537900000,9,12.0,0.0
1626565860000,9,19.0,0.0
1626570000000,9,39.0,0.0
1626574080000,9,26.0,0.0
1626574560000,9,20.0,0.0
1626578460000,9,59.0,0.0
1626579360000,9,25.0,0.0
1626579840000,9,16.0,0.0
1626580500000,9,0.0,10.0
1626580560000,9,24.0,24.0
1626580620000,9,19.0,36.0
1626580680000,9,44.0,48.0
1626580740000,9,92.0,94.0
1626580800000,9,103.0,111.0
1626580860000,9,112.0,114.0
1626580920000,9,108.0,107.0
1626580980000,9,35.0,29.0
1626581160000,9,26.0,37.0
1626581280000,9,61.0,70.0
1626581340000,9,92.0,99.0
1626581400000,9,102.0,112.0
1626581460000,9,110.0,110.0
1626581520000,9,67.0,66.0
1626581580000,9,11.0,30.0
1626589140000,9,21.0,12.0
1626589200000,9,19.0,0.0
1626589260000,9,33.0,0.0
1626589320000,9,15.0,0.0
1626589560000,9,29.0,0.0
1626599280000,9,41.0,41.0
1626599700000,9,23.0,0.0
1626603060000,9,19.0,12.0
1626603900000,9,19.0,19.0
1626607200000,9,20.0,63.0
1626607260000,9,40.0,37.0
1626607320000,9,39.0,31.0
1626607380000,9,70.0,93.0
1626607440000,9,115.0,117.0
1626607500000,9,114.0,116.0
1626607560000,9,62.0,50.0
1626607620000,9,54.0,60.0
1626607680000,9,115.0,117.0
1626607740000,9,23.0,18.0
1626607800000,9,39.0,24.0
1626607860000,9,51.0,53.0
1626607920000,9,27.0,78.0
1626607980000,9,0.0,11.0
1626608040000,9,37.0,42.0
1626608100000,9,63.0,61.0
1626608160000,9,123.0,121.0
1626608220000,9,120.0,117.0
1626608280000,9,121.0,119.0
1626608340000,9,100.0,77.0
1626608400000,9,14.0,14.0
1626608460000,9,24.0,23.0
1626608520000,9,0.0,26.0
1626608580000,9,50.0,60.0
1626608640000,9,27.0,55.0
1626608700000,9,88.0,115.0
1626608760000,9,108.0,118.0
1626608820000,9,64.0,74.0
1626608880000,9,98.0,110.0
1626608940000,9,110.0,122.0
1626609000000,9,116.0,107.0
1626609060000,9,110.0,122.0
1626609120000,9,112.0,112.0
1626609180000,9,102.0,113.0
1626609240000,9,102.0,112.0
1626609300000,9,112.0,110.0
1626609360000,9,39.0,36.0
1626609420000,9,105.0,108.0
1626609480000,9,74.0,74.0
1626609540000,9,79.0,91.0
1626609600000,9,108.0,118.0
1626609660000,9,111.0,117.0
1626609720000,9,99.0,78.0
1626609780000,9,17.0,21.0
1626609840000,9,0.0,16.0
1626623220000,9,16.0,0.0
1626624120000,9,7.0,0.0
1626636900000,9,16.0,0.0
1626636960000,9,60.0,0.0
1626637020000,9,58.0,0.0
1626637560000,9,56.0,0.0
1626637620000,9,127.0,0.0
1626637680000,9,127.0,0.0
1626637740000,9,128.0,0.0
1626637800000,9,129.0,0.0
1626637860000,9,133.0,0.0
1626637920000,9,74.0,0.0
1626637980000,9,33.0,0.0
1626643500000,9,11.0,0.0
1626644220000,9,23.0,0.0
1626644400000,9,23.0,0.0
1626644520000,9,112.0,0.0
1626644580000,9,130.0,0.0
1626644640000,9,130.0,0.0
1626644700000,9,131.0,0.0
1626644760000,9,129.0,0.0
1626644820000,9,128.0,0.0
1626644880000,9,128.0,0.0
1626644940000,9,86.0,0.0
1626645060000,9,18.0,0.0
1626645780000,9,55.0,0.0
1626645840000,9,45.0,0.0
1626655500000,9,24.0,0.0
1626656520000,9,7.0,0.0
1626656880000,9,18.0,0.0
1626657420000,9,6.0,0.0
1626657600000,9,20.0,0.0
1626657660000,9,11.0,0.0
1626657840000,9,16.0,0.0
1626661380000,9,22.0,0.0
1626661440000,9,15.5,0.0
1626662580000,9,19.0,0.0
1626663360000,9,36.0,64.0
1626663420000,9,42.0,49.0
1626663480000,9,105.0,114.0
1626663540000,9,108.0,116.0
1626663600000,9,98.0,107.0
1626663660000,9,116.0,119.0
1626663720000,9,111.0,111.0
1626663780000,9,40.0,35.0
1626664260000,9,9.0,23.0
1626664320000,9,82.0,90.0
1626664380000,9,105.0,105.0
1626664440000,9,46.0,35.0
1626664500000,9,106.0,112.0
1626664560000,9,102.0,107.0
1626664620000,9,100.0,109.0
1626664680000,9,63.0,60.0
1626664740000,9,49.0,27.0
1626664800000,9,20.0,57.0
1626664860000,9,0.0,22.0
1626665280000,9,10.0,0.0
1626675960000,9,0.0,42.0
1626676020000,9,25.0,28.0
1626676080000,9,105.0,100.0
1626676140000,9,113.0,121.0
1626676200000,9,41.0,59.0
1626676260000,9,6.0,6.0
1626676320000,9,28.0,42.0
1626676380000,9,47.0,55.0
1626676440000,9,106.0,117.0
1626676500000,9,104.0,113.0
1626676560000,9,64.0,74.0
1626676620000,9,62.0,76.0
1626676800000,9,0.0,14.0
1626676980000,9,0.0,10.0
1626677280000,9,0.0,14.0
1626677340000,9,0.0,10.0
1626679260000,9,28.0,13.0
1626679320000,9,24.0,24.0
1626679380000,9,13.0,11.0
1626679440000,9,69.0,85.0
1626679500000,9,74.0,68.0
1626679560000,9,105.0,111.0
1626679620000,9,108.0,114.0
1626679680000,9,117.0,122.0
1626679740000,9,110.0,120.0
1626679800000,9,89.0,103.0
1626679920000,9,26.0,24.0
1626679980000,9,42.0,72.0
1626680340000,9,25.0,17.0
1626680400000,9,15.0,14.0
