UID,COLLECTED_AT,AGE,GENDER,PHONE_MODELS,WEARABLE_MODELS
P001,202108171119,24,M,"['SM-N986N', 'SM-N976N']",['Galaxy Watch']
P002,202108171121,28,M,['SM-N976N'],['Galaxy Watch Active2']
P004,202108171125,20,M,"['SM-G991N', 'SM-G965N']",['Galaxy Watch']
P006,202108171202,22,M,"['SM-G960N', 'SM-F711N']","['Galaxy Fit2', 'Gear S3', 'Galaxy Watch4']"
P007,202108171121,26,F,"['SM-G998N', 'SM-G960N']",['Galaxy Watch3']
P008,202108171255,28,M,['SM-G970N'],['Galaxy Fit2']
P009,202108181414,40,M,['SM-G986N'],['Galaxy Fit2']
P010,202108171325,19,M,['SM-G977N'],['Galaxy Watch Active2']
P011,202108171258,28,M,['SM-N976N'],['Galaxy Fit2']
P012,202108171344,30,M,['SM-G970N'],['Galaxy Watch Active2']
P014,202108171401,20,M,['SM-G977N'],['Galaxy Fit2']
P017,202108171639,26,M,['SM-G991N'],['Galaxy Fit2']
P018,202108171704,33,F,['SM-N986N'],['Gear S3']
P019,202108171706,33,M,['SM-N971N'],['Galaxy Watch3']
P022,202108181314,25,F,['SM-G981N'],['Galaxy Fit']
P023,202108181451,27,M,['SM-N976N'],['Galaxy Watch Active2']
P024,202108181543,39,M,['SM-N986N'],['Galaxy Watch3']
P025,202108181542,43,M,['SM-G977N'],['Galaxy Watch3']
P026,202108181836,35,M,['SM-N976N'],['Galaxy Watch Active2']
P027,202108182209,29,M,['SM-G975N'],['Galaxy Watch']
P028,202108182229,25,M,['SM-G960N'],['Galaxy Watch Active2']
P029,202108182316,19,M,['SM-N986N'],"['Galaxy Watch Active2', 'Galaxy Watch4']"
P031,202108182349,19,M,['SM-N976N'],"['Galaxy Fit2', 'Galaxy Watch Active2']"
P032,202108190006,31,M,['SM-N986N'],['Galaxy Watch3']
P033,202108190045,27,M,"['SM-N971N', 'SM-N935S']",['Galaxy Watch Active']
P037,202108220738,34,M,['SM-N976N'],['Galaxy Watch3']
P038,202108220923,28,M,['SM-G975N'],['Galaxy Watch Active2']
P041,202108231810,25,M,"['SM-G981N', 'SM-F711N']","['Galaxy Watch', 'Galaxy Watch4 Classic']"
P042,202108232241,31,M,['SM-N975F'],['Galaxy Watch Active']
P043,202108241540,22,M,['SM-G981N'],['Galaxy Watch3']
P044,202109071518,26,M,['SM-N960N'],['Galaxy Watch3']
P046,202111191656,28,F,['SM-G977N'],['Galaxy Watch Active']
P048,202111191851,28,M,['SM-G781N'],['Galaxy Watch4']
P049,202111191855,44,M,['SM-N976N'],"['Galaxy Watch4', 'Galaxy Watch4 Classic', 'Galaxy Watch Active2']"
P050,202111192032,20,M,['SM-N986N'],['Galaxy Watch4']
P052,202111192157,53,M,['SM-N986N'],"['Gear Fit2', 'Galaxy Watch4']"
P053,202111200133,21,F,['SM-N960N'],['Galaxy Watch4']
P055,202111210940,22,M,['SM-N971N'],['Galaxy Watch Active2']
P056,202111221613,51,M,['SM-N971N'],"['Galaxy Fit2', 'Galaxy Watch4']"
P057,202111281427,29,M,['SM-G970N'],['Galaxy Watch4']
P058,202111281709,24,M,['SM-G781N'],['Galaxy Watch4']
P059,202111281928,29,M,['SM-F711N'],['Galaxy Watch Active2']
P061,202111282112,30,F,['SM-G973N'],['Galaxy Watch3']
P062,202111290013,28,M,['SM-G973N'],['Galaxy Watch4']
P063,202111291051,28,M,"['SM-F711N', 'SM-N976N']",['Gear S3']
P064,202111291306,24,M,['SM-G977N'],['Galaxy Watch4 Classic']
P065,202111291314,23,M,['SM-G977N'],['Galaxy Watch4']
P066,202111291454,22,F,['SM-N986N'],['Galaxy Watch4']
P067,202111291530,23,M,['SM-G973N'],['Galaxy Watch4']
P068,202111291551,21,M,['SM-F907N'],['Galaxy Watch4 Classic']
P069,202111291950,23,M,['SM-G991N'],['Galaxy Watch4']
P070,202111292156,19,M,['SM-G986N'],['Galaxy Watch Active2']
P071,202111300200,24,M,['SM-G998N'],['Galaxy Watch4']
P072,202111302236,43,M,['SM-A716S'],['Galaxy Watch Active2']
P074,202112071453,23,M,['SM-G885S'],['Galaxy Watch Active2']
P075,202112071528,23,M,['SM-A516N'],['Galaxy Fit2']
P076,202112071505,27,F,['SM-G981N'],['Galaxy Watch Active2']
P077,202112131015,31,F,['SM-N971N'],['Galaxy Watch4']
P078,202112131042,34,F,['SM-N981N'],['Galaxy Watch4 Classic']
P079,202112131050,43,M,['SM-N976N'],['Galaxy Watch4 Classic']
P080,202112131232,46,F,['SM-N976N'],['Galaxy Watch4']
P081,202112131408,34,M,['SM-N976N'],['Galaxy Watch4']
P082,202112131631,40,F,['SM-N981N'],['Galaxy Watch4']
P083,202112131939,59,M,['SM-N960N'],"['Galaxy Watch4 Classic', 'Galaxy Fit2']"
P084,202109291647,31,M,['SM-G977N'],['Galaxy Watch4 Classic']
P085,202112140132,22,M,['SM-N950N'],['Galaxy Watch4']
